IdRun;MethodParallelization;NameConv;Time(ms);std;NbMicroKernel;AxeFuse1;SizeAxeFuse1;AxeFuse2;SizeAxeFuse2;Schema;Time_search(6.124571800231934)
0;0;MobilNet_03;9.5335128;0.020441587926577773;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;16;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;4;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;8.931666374206543
0;1;MobilNet_03;9.8114592;0.01864909860985228;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;16;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;4;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;11.733397483825684
0;2;MobilNet_03;9.7586955;0.013314706562669705;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;16;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;4;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;14.51892375946045
0;3;MobilNet_03;9.8196772;0.04343337070916792;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_in_channels1_0;16;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0,axe_in_channels2_0;4;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;17.327471494674683
0;4;MobilNet_03;9.6697334;0.013303127092529734;2;axe_xx1_0;1;axe_xx2_0;1;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;20.17249584197998
0;5;MobilNet_03;9.774779;0.01923512032195294;2;axe_xx1_0,axe_yy1_0;4;axe_xx2_0,axe_yy2_0;1;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;22.9680597782135
1;0;MobilNet_03;9.7151714;0.018678323528625237;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;16;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;4;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;25.8304226398468
1;1;MobilNet_03;9.7248082;0.020247905787018877;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;16;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;4;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;28.686817169189453
1;2;MobilNet_03;9.700516600000002;0.02233794601211136;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;16;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;4;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;31.52130889892578
1;3;MobilNet_03;9.7240053;0.021682452260064728;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0,axe_in_channels1_0;16;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0,axe_in_channels2_0;4;X:1, Y:4, X:1, F:4, C:1, W:3, H:3, X:56, Y:11, C:128, F:32, ;34.384586334228516
