IdRun;MethodParallelization;NameConv;Time(ms);std;NbMicroKernel;AxeFuse1;SizeAxeFuse1;AxeFuse2;SizeAxeFuse2;Schema;Time_search(2.2319648265838623)
0;0;ResNet18_01;2.4057126;0.041207334323394504;1;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;16;;;C:1, Y:1, F:2, Y:8, X:1, W:7, H:7, X:112, Y:14, C:3, F:32, ;3.500507354736328
1;0;ResNet18_01;2.3615116;0.0367181960401107;1;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;16;;;C:1, Y:2, F:2, Y:4, X:1, W:7, H:7, X:112, Y:14, C:3, F:32, ;4.798877954483032
2;0;ResNet18_01;2.3990923;0.07484926079267584;1;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;16;;;C:1, Y:4, F:2, Y:2, X:1, W:7, H:7, X:112, Y:14, C:3, F:32, ;6.090686559677124
3;0;ResNet18_01;2.3383126;0.10450338483245405;1;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;16;;;C:1, Y:8, F:2, Y:1, X:1, W:7, H:7, X:112, Y:14, C:3, F:32, ;7.378055810928345
4;0;ResNet18_01;3.5798480000000006;0.03121159649553348;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;8;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;8;C:1, Y:4, F:2, Y:1, X:1, W:7, H:7, X:112, Y:13, C:3, F:32, ;8.932560682296753
5;0;ResNet18_01;3.9062153000000004;0.034923428568942184;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;8;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;8;C:1, Y:1, F:2, Y:4, X:1, W:7, H:7, X:112, Y:13, C:3, F:32, ;10.495187044143677
6;0;ResNet18_01;3.5896631;0.03584473927217222;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;4;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;12;C:1, Y:2, F:2, Y:1, X:1, W:7, H:7, X:112, Y:11, C:3, F:32, ;12.04173493385315
7;0;ResNet18_01;4.0178555;0.017389315611892296;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;4;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;12;C:1, Y:1, F:2, Y:2, X:1, W:7, H:7, X:112, Y:11, C:3, F:32, ;13.61156439781189
8;0;ResNet18_01;3.8095213;0.03080246164205054;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;14;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;4;C:1, Y:1, F:2, Y:7, X:1, W:7, H:7, X:112, Y:12, C:3, F:32, ;15.184804916381836
9;0;ResNet18_01;3.4415605;0.03818229595571749;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;14;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;4;C:1, Y:7, F:2, Y:1, X:1, W:7, H:7, X:112, Y:12, C:3, F:32, ;16.72454047203064
10;0;ResNet18_01;3.5355337;0.020527169322875474;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;10;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;8;C:1, Y:1, F:2, Y:5, X:1, W:7, H:7, X:112, Y:12, C:3, F:32, ;18.254437685012817
11;0;ResNet18_01;3.4161154000000002;0.02983356920718676;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;10;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;8;C:1, Y:5, F:2, Y:1, X:1, W:7, H:7, X:112, Y:12, C:3, F:32, ;19.759320497512817
12;0;ResNet18_01;3.2189382;0.03395837426850707;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;14;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;6;C:1, Y:1, F:2, Y:7, X:1, W:7, H:7, X:112, Y:10, C:3, F:32, ;21.325586557388306
13;0;ResNet18_01;3.1000704;0.02122280156906709;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;14;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;6;C:1, Y:7, F:2, Y:1, X:1, W:7, H:7, X:112, Y:10, C:3, F:32, ;22.854856967926025
14;0;ResNet18_01;2.9796672;0.0749530361583839;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;18;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;2;C:1, Y:1, F:2, Y:9, X:1, W:7, H:7, X:112, Y:11, C:3, F:32, ;24.35147476196289
15;0;ResNet18_01;3.1054056;0.033188957522646015;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;18;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;2;C:1, Y:9, F:2, Y:1, X:1, W:7, H:7, X:112, Y:11, C:3, F:32, ;25.845892667770386
16;0;ResNet18_01;3.4473144999999996;0.028000305245657706;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;12;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;8;C:1, Y:2, F:2, Y:3, X:1, W:7, H:7, X:112, Y:10, C:3, F:32, ;27.359354496002197
17;0;ResNet18_01;3.5695570999999995;0.019866513506148924;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;12;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;8;C:1, Y:3, F:2, Y:2, X:1, W:7, H:7, X:112, Y:10, C:3, F:32, ;28.893226861953735
18;0;ResNet18_01;3.5447393;0.03614418044457509;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;16;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;4;C:1, Y:2, F:2, Y:4, X:1, W:7, H:7, X:112, Y:11, C:3, F:32, ;30.42574644088745
19;0;ResNet18_01;3.589794;0.034713631342744834;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;16;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;4;C:1, Y:4, F:2, Y:2, X:1, W:7, H:7, X:112, Y:11, C:3, F:32, ;31.972705841064453
20;0;ResNet18_01;2.8136892;0.013704030661086544;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;14;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;8;C:1, Y:1, F:2, Y:7, X:1, W:7, H:7, X:112, Y:8, C:3, F:32, ;33.442752838134766
21;0;ResNet18_01;2.8822496;0.02028983624478028;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;14;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;8;C:1, Y:7, F:2, Y:1, X:1, W:7, H:7, X:112, Y:8, C:3, F:32, ;34.90713024139404
22;0;ResNet18_01;3.0605705999999997;0.0937527703304815;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;22;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;2;C:1, Y:1, F:2, Y:11, X:1, W:7, H:7, X:112, Y:9, C:3, F:32, ;36.39117622375488
23;0;ResNet18_01;2.9859280999999998;0.040141390609818216;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;22;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;2;C:1, Y:11, F:2, Y:1, X:1, W:7, H:7, X:112, Y:9, C:3, F:32, ;37.871583223342896
24;0;ResNet18_01;3.5668824999999997;0.019466779149361096;2;axe_yy1_0,axe_out_channels1_0,axe_yy1_1,axe_xx1_0;8;axe_yy2_0,axe_out_channels2_0,axe_yy2_1,axe_xx2_0;12;C:1, Y:2, F:2, Y:2, X:1, W:7, H:7, X:112, Y:10, C:3, F:32, ;39.41942048072815
