IdRun;MethodParallelization;NameConv;Time(ms);std;NbMicroKernel;AxeFuse1;SizeAxeFuse1;AxeFuse2;SizeAxeFuse2;Schema;Time_search(2.9545578956604004)
0;0;ResNet18_06;2.5348764;0.0025492429935178745;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;;;F:1, Y:4, X:1, F:2, C:1, W:3, H:3, X:28, Y:7, C:128, F:64, ;4.003582954406738
1;0;ResNet18_06;2.5677054000000004;0.0035343127252692127;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;;;F:2, Y:4, X:1, F:1, C:1, W:3, H:3, X:28, Y:7, C:128, F:64, ;5.060029745101929
2;0;ResNet18_06;3.9888304;0.0030726075636175604;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;;;F:1, Y:4, X:1, F:2, C:1, W:3, H:3, X:28, Y:7, C:128, F:64, ;6.196571111679077
3;0;ResNet18_06;3.9707905999999995;0.0014880025672019564;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;;;F:2, Y:4, X:1, F:1, C:1, W:3, H:3, X:28, Y:7, C:128, F:64, ;7.332977771759033
4;0;ResNet18_06;2.4275234;0.003563794191588591;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;4;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;6;F:1, Y:2, X:1, F:2, C:1, W:3, H:3, X:28, Y:5, C:128, F:64, ;8.600717782974243
5;0;ResNet18_06;2.4206440999999996;0.002790285377878062;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;4;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;6;F:2, Y:2, X:1, F:1, C:1, W:3, H:3, X:28, Y:5, C:128, F:64, ;9.876107215881348
6;0;ResNet18_06;2.7468085;0.0027359522017023834;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;;;F:1, Y:2, X:1, F:4, C:1, W:3, H:3, X:28, Y:14, C:128, F:32, ;10.942851305007935
7;0;ResNet18_06;2.7784367;0.006974389264301227;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;;;F:2, Y:2, X:1, F:2, C:1, W:3, H:3, X:28, Y:14, C:128, F:32, ;12.00238847732544
8;0;ResNet18_06;2.726242;0.0032129084331801658;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;;;F:4, Y:2, X:1, F:1, C:1, W:3, H:3, X:28, Y:14, C:128, F:32, ;13.064109325408936
9;0;ResNet18_06;2.8394427;0.0056386794916896054;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;4;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:1, Y:1, X:1, F:4, C:1, W:3, H:3, X:28, Y:13, C:128, F:32, ;14.370575666427612
10;0;ResNet18_06;2.839033;0.0038347323505036994;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;4;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:2, Y:1, X:1, F:2, C:1, W:3, H:3, X:28, Y:13, C:128, F:32, ;15.670513153076172
11;0;ResNet18_06;2.8405566999999996;0.0050477356319442975;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;4;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:4, Y:1, X:1, F:1, C:1, W:3, H:3, X:28, Y:13, C:128, F:32, ;16.973655462265015
12;0;ResNet18_06;2.1283024999999993;0.003348676342974888;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;16;;;F:1, Y:4, X:2, F:2, C:1, W:3, H:3, X:14, Y:7, C:128, F:64, ;18.18287968635559
13;0;ResNet18_06;2.1351575;0.00212969050568381;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;16;;;F:2, Y:4, X:2, F:1, C:1, W:3, H:3, X:14, Y:7, C:128, F:64, ;19.451534032821655
14;0;ResNet18_06;3.6305714;0.0038207804228978996;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;16;;;F:1, Y:4, X:2, F:2, C:1, W:3, H:3, X:14, Y:7, C:128, F:64, ;20.747933864593506
15;0;ResNet18_06;3.62769;0.005215883702691309;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;16;;;F:2, Y:4, X:2, F:1, C:1, W:3, H:3, X:14, Y:7, C:128, F:64, ;22.10317373275757
16;0;ResNet18_06;1.9854593999999999;0.00621004692735892;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;12;F:1, Y:2, X:2, F:2, C:1, W:3, H:3, X:14, Y:5, C:128, F:64, ;23.55977773666382
17;0;ResNet18_06;1.9854962999999999;0.00271316000449662;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;12;F:2, Y:2, X:2, F:1, C:1, W:3, H:3, X:14, Y:5, C:128, F:64, ;25.08778476715088
18;0;ResNet18_06;2.7577605000000003;0.006585320314912594;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:1, Y:2, X:1, F:4, C:1, W:3, H:3, X:28, Y:8, C:128, F:32, ;26.361417531967163
19;0;ResNet18_06;2.7544248;0.002985342955172805;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:2, Y:2, X:1, F:2, C:1, W:3, H:3, X:28, Y:8, C:128, F:32, ;27.63283944129944
20;0;ResNet18_06;2.7539144999999996;0.005815435344838779;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:4, Y:2, X:1, F:1, C:1, W:3, H:3, X:28, Y:8, C:128, F:32, ;28.908937692642212
21;0;ResNet18_06;2.7654142;0.002552476201651968;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:1, Y:2, X:1, F:4, C:1, W:3, H:3, X:28, Y:9, C:128, F:32, ;30.188974618911743
22;0;ResNet18_06;2.7743398;0.0036730690927342905;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:2, Y:2, X:1, F:2, C:1, W:3, H:3, X:28, Y:9, C:128, F:32, ;31.467027187347412
23;0;ResNet18_06;2.7728247;0.0035035197459126746;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:4, Y:2, X:1, F:1, C:1, W:3, H:3, X:28, Y:9, C:128, F:32, ;32.748870611190796
24;0;ResNet18_06;2.3756506999999996;0.0028131609996585537;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:1, Y:2, X:1, F:4, C:1, W:3, H:3, X:28, Y:9, C:128, F:32, ;34.030109882354736
25;0;ResNet18_06;2.3733675;0.0033228307585550653;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:2, Y:2, X:1, F:2, C:1, W:3, H:3, X:28, Y:9, C:128, F:32, ;35.31057119369507
26;0;ResNet18_06;2.3730948;0.003843940004734646;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;8;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;4;F:4, Y:2, X:1, F:1, C:1, W:3, H:3, X:28, Y:9, C:128, F:32, ;36.614113330841064
27;0;ResNet18_06;2.1205697;0.002138732009859958;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;32;;;F:1, Y:4, X:4, F:2, C:1, W:3, H:3, X:7, Y:7, C:128, F:64, ;37.676785469055176
28;0;ResNet18_06;2.1346870000000004;0.0019142973123315978;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;32;;;F:2, Y:4, X:4, F:1, C:1, W:3, H:3, X:7, Y:7, C:128, F:64, ;38.760114669799805
29;0;ResNet18_06;3.6198101;0.003890874000786929;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;32;;;F:1, Y:4, X:4, F:2, C:1, W:3, H:3, X:7, Y:7, C:128, F:64, ;39.91218686103821
30;0;ResNet18_06;3.6224615;0.0032557067205139715;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;32;;;F:2, Y:4, X:4, F:1, C:1, W:3, H:3, X:7, Y:7, C:128, F:64, ;41.08079147338867
31;0;ResNet18_06;2.7401471000000006;0.005911641471706437;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;4;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;8;F:1, Y:1, X:1, F:4, C:1, W:3, H:3, X:28, Y:8, C:128, F:32, ;42.34156894683838
32;0;ResNet18_06;2.736522;0.007911579513599052;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;4;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;8;F:2, Y:1, X:1, F:2, C:1, W:3, H:3, X:28, Y:8, C:128, F:32, ;43.600446701049805
33;0;ResNet18_06;2.7249723;0.002932729276629564;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;4;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;8;F:4, Y:1, X:1, F:1, C:1, W:3, H:3, X:28, Y:8, C:128, F:32, ;44.8645339012146
34;0;ResNet18_06;2.007705;0.003620783754934898;1;axe_xx1_0;28;;;F:1, Y:2, F:8, C:1, X:28, W:3, H:3, X:1, Y:14, C:128, F:16, ;45.902936935424805
35;0;ResNet18_06;2.0124205;0.013327028440353952;1;axe_xx1_0;28;;;F:2, Y:2, F:4, C:1, X:28, W:3, H:3, X:1, Y:14, C:128, F:16, ;46.92324352264404
36;0;ResNet18_06;1.9942292;0.005626091606079673;1;axe_xx1_0;28;;;F:4, Y:2, F:2, C:1, X:28, W:3, H:3, X:1, Y:14, C:128, F:16, ;47.939056158065796
37;0;ResNet18_06;1.9927116000000002;0.005814631737264103;1;axe_xx1_0;28;;;F:8, Y:2, F:1, C:1, X:28, W:3, H:3, X:1, Y:14, C:128, F:16, ;48.94520115852356
38;0;ResNet18_06;1.9692228999999997;0.0032950095735823854;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;16;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;24;F:1, Y:2, X:4, F:2, C:1, W:3, H:3, X:7, Y:5, C:128, F:64, ;50.2011194229126
39;0;ResNet18_06;1.9695564;0.0030063154591625425;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;16;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;24;F:2, Y:2, X:4, F:1, C:1, W:3, H:3, X:7, Y:5, C:128, F:64, ;51.500940561294556
40;0;ResNet18_06;2.1125187999999997;0.00413157966884341;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;56;;;F:1, Y:4, X:7, F:2, C:1, W:3, H:3, X:4, Y:7, C:128, F:64, ;52.52676439285278
41;0;ResNet18_06;2.1294266;0.0049197837798016526;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;56;;;F:2, Y:4, X:7, F:1, C:1, W:3, H:3, X:4, Y:7, C:128, F:64, ;53.534743785858154
42;0;ResNet18_06;3.6361187;0.0025128351736634544;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;56;;;F:1, Y:4, X:7, F:2, C:1, W:3, H:3, X:4, Y:7, C:128, F:64, ;54.63046646118164
43;0;ResNet18_06;3.6219338999999997;0.0055237711294006085;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;56;;;F:2, Y:4, X:7, F:1, C:1, W:3, H:3, X:4, Y:7, C:128, F:64, ;55.74157977104187
44;0;ResNet18_06;1.9577734;0.0077784569189524805;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;28;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;42;F:1, Y:2, X:7, F:2, C:1, W:3, H:3, X:4, Y:5, C:128, F:64, ;56.96956920623779
45;0;ResNet18_06;1.9621154;0.0016287673989861565;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;28;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;42;F:2, Y:2, X:7, F:1, C:1, W:3, H:3, X:4, Y:5, C:128, F:64, ;58.195186614990234
46;0;ResNet18_06;2.1127089999999997;0.003026266313462884;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;112;;;F:1, Y:4, X:14, F:2, C:1, W:3, H:3, X:2, Y:7, C:128, F:64, ;59.207892656326294
47;0;ResNet18_06;2.1269149;0.0020821577485868148;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;112;;;F:2, Y:4, X:14, F:1, C:1, W:3, H:3, X:2, Y:7, C:128, F:64, ;60.19917440414429
48;0;ResNet18_06;3.6439005;0.0037492954871549597;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;112;;;F:1, Y:4, X:14, F:2, C:1, W:3, H:3, X:2, Y:7, C:128, F:64, ;61.2751362323761
49;0;ResNet18_06;3.6434427;0.005271696615891298;1;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;112;;;F:2, Y:4, X:14, F:1, C:1, W:3, H:3, X:2, Y:7, C:128, F:64, ;62.37057304382324
50;0;ResNet18_06;1.9596912;0.0057878877114194704;2;axe_out_channels1_0,axe_yy1_0,axe_xx1_0,axe_out_channels1_1;56;axe_out_channels2_0,axe_yy2_0,axe_xx2_0,axe_out_channels2_1;84;F:1, Y:2, X:14, F:2, C:1, W:3, H:3, X:2, Y:5, C:128, F:64, ;63.578858613967896
