IdRun;MethodParallelization;NameConv;Time(ms);std;NbMicroKernel;AxeFuse1;SizeAxeFuse1;AxeFuse2;SizeAxeFuse2;Schema;Time_search(4.497886419296265)
0;0;ResNet18_02;0.5557966999999999;0.008871068797501217;1;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;8;;;X:1, Y:4, X:1, F:2, C:1, W:3, H:3, X:56, Y:14, C:64, F:32, ;5.652685165405273
1;0;ResNet18_02;1.1383717;0.010982152694713355;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;2;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;6;X:1, Y:1, X:1, F:2, C:1, W:3, H:3, X:56, Y:11, C:64, F:32, ;7.079346179962158
2;0;ResNet18_02;0.9711451999999999;0.00788814055148619;1;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;8;;;F:1, X:1, Y:8, X:1, C:1, W:3, H:3, X:56, Y:7, C:64, F:64, ;8.27054738998413
3;0;ResNet18_02;1.0209332999999998;0.0016533579195080438;1;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;8;;;F:1, X:1, Y:8, X:1, C:1, W:3, H:3, X:56, Y:7, C:64, F:64, ;9.487374305725098
4;0;ResNet18_02;1.4241299;0.00576832156610576;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;7;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;2;F:1, X:1, Y:7, X:1, C:1, W:3, H:3, X:56, Y:6, C:64, F:64, ;11.014169454574585
5;0;ResNet18_02;1.5995357000000001;0.00512819631157004;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;7;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;2;F:1, X:1, Y:7, X:1, C:1, W:3, H:3, X:56, Y:6, C:64, F:64, ;12.580805778503418
6;0;ResNet18_02;0.9761168999999998;0.006608665515064277;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;6;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;4;X:1, Y:3, X:1, F:2, C:1, W:3, H:3, X:56, Y:10, C:64, F:32, ;14.099156618118286
7;0;ResNet18_02;1.0243163;0.010497413653371961;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;8;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;2;X:1, Y:4, X:1, F:2, C:1, W:3, H:3, X:56, Y:11, C:64, F:32, ;15.612131357192993
8;0;ResNet18_02;1.0558049;0.01202100152607925;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;8;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;2;X:1, Y:4, X:1, F:2, C:1, W:3, H:3, X:56, Y:11, C:64, F:32, ;17.16859531402588
9;0;ResNet18_02;1.4161238;0.002628346164415961;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;7;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;3;F:1, X:1, Y:7, X:1, C:1, W:3, H:3, X:56, Y:5, C:64, F:64, ;18.713809728622437
10;0;ResNet18_02;0.9629904;0.004801903501737621;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;4;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;6;X:1, Y:2, X:1, F:2, C:1, W:3, H:3, X:56, Y:10, C:64, F:32, ;20.244513750076294
11;0;ResNet18_02;0.9706603000000001;0.005415906259343854;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;4;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;6;X:1, Y:2, X:1, F:2, C:1, W:3, H:3, X:56, Y:10, C:64, F:32, ;21.817005157470703
12;0;ResNet18_02;0.9211509;0.006512479995362758;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;10;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;2;X:1, Y:5, X:1, F:2, C:1, W:3, H:3, X:56, Y:9, C:64, F:32, ;23.32634949684143
13;0;ResNet18_02;0.9427888;0.013994932095583765;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;10;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_out_channels2_0;2;X:1, Y:5, X:1, F:2, C:1, W:3, H:3, X:56, Y:9, C:64, F:32, ;24.860486268997192
14;0;ResNet18_02;0.33348300000000003;0.004875684895478789;1;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;14;;;X:1, Y:7, X:1, F:2, C:1, W:3, H:3, X:56, Y:8, C:64, F:32, ;26.005313634872437
15;0;ResNet18_02;0.21013579999999998;0.00128202494515513;1;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;16;;;F:1, X:1, Y:8, X:2, C:1, W:3, H:3, X:28, Y:7, C:64, F:64, ;27.150537967681885
16;0;ResNet18_02;0.28741990000000006;0.005793810187605391;1;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;16;;;F:1, X:2, Y:8, X:1, C:1, W:3, H:3, X:28, Y:7, C:64, F:64, ;28.262670755386353
17;0;ResNet18_02;0.32864799999999994;0.0018975110012856358;1;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;16;;;F:1, X:1, Y:8, X:2, C:1, W:3, H:3, X:28, Y:7, C:64, F:64, ;29.425812482833862
18;0;ResNet18_02;0.3939910999999999;0.002304053577936065;1;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;16;;;F:1, X:2, Y:8, X:1, C:1, W:3, H:3, X:28, Y:7, C:64, F:64, ;30.572043895721436
19;0;ResNet18_02;0.4039797;0.0010422185999107928;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;14;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;4;F:1, X:1, Y:7, X:2, C:1, W:3, H:3, X:28, Y:6, C:64, F:64, ;31.958646059036255
20;0;ResNet18_02;0.5179178999999999;0.003101710284665549;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;14;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;4;F:1, X:2, Y:7, X:1, C:1, W:3, H:3, X:28, Y:6, C:64, F:64, ;33.33637714385986
21;0;ResNet18_02;0.5639019;0.0034818599182046524;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;14;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;4;F:1, X:1, Y:7, X:2, C:1, W:3, H:3, X:28, Y:6, C:64, F:64, ;34.77013611793518
22;0;ResNet18_02;0.6864652;0.0042465810907128315;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;14;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;4;F:1, X:2, Y:7, X:1, C:1, W:3, H:3, X:28, Y:6, C:64, F:64, ;36.2044677734375
23;0;ResNet18_02;0.5071138;0.002930825747123146;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;14;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;6;F:1, X:1, Y:7, X:2, C:1, W:3, H:3, X:28, Y:5, C:64, F:64, ;37.60247731208801
24;0;ResNet18_02;0.6113997;0.0038297541187392124;2;axe_out_channels1_0,axe_xx1_0,axe_yy1_0,axe_xx1_1;14;axe_out_channels2_0,axe_xx2_0,axe_yy2_0,axe_xx2_1;6;F:1, X:2, Y:7, X:1, C:1, W:3, H:3, X:28, Y:5, C:64, F:64, ;39.00942635536194
25;0;ResNet18_02;0.3958381999999999;0.009589274610730468;1;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_out_channels1_0;16;;;X:1, Y:4, X:2, F:2, C:1, W:3, H:3, X:28, Y:14, C:64, F:32, ;40.1114456653595
