IdRun;MethodParallelization;NameConv;Time(ms);std;NbMicroKernel;AxeFuse1;SizeAxeFuse1;AxeFuse2;SizeAxeFuse2;Schema;Time_search(11.30623459815979)
0;0;Yolo9000_00;8.6826033;0.031186575515917036;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;64;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, Y:16, X:1, X:2, Y:2, W:3, H:3, X:272, Y:11, C:3, F:32, ;13.888982772827148
1;0;Yolo9000_00;7.048247699999999;0.05203203924708309;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;64;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, Y:2, X:1, X:2, Y:16, W:3, H:3, X:272, Y:11, C:3, F:32, ;16.43333601951599
2;0;Yolo9000_00;8.715534700000001;0.03798237840380712;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;64;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, Y:16, X:2, X:1, Y:2, W:3, H:3, X:272, Y:11, C:3, F:32, ;19.047919273376465
3;0;Yolo9000_00;6.9839843;0.03116530261059576;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;64;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, Y:2, X:2, X:1, Y:16, W:3, H:3, X:272, Y:11, C:3, F:32, ;21.58866596221924
4;0;Yolo9000_00;7.7388847;0.041798155447459434;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;64;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, X:1, Y:16, X:2, Y:2, W:3, H:3, X:272, Y:11, C:3, F:32, ;24.24621272087097
5;0;Yolo9000_00;6.5737194;0.0380844420024766;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;64;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, X:1, Y:2, X:2, Y:16, W:3, H:3, X:272, Y:11, C:3, F:32, ;26.83888292312622
6;0;Yolo9000_00;6.6107253;0.04075573182032217;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;64;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, X:2, Y:16, X:1, Y:2, W:3, H:3, X:272, Y:11, C:3, F:32, ;29.40984559059143
7;0;Yolo9000_00;6.6071951;0.02342655481478227;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;64;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, X:2, Y:2, X:1, Y:16, W:3, H:3, X:272, Y:11, C:3, F:32, ;31.96794581413269
8;0;Yolo9000_00;5.5454351;0.03982408839998736;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;34;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;68;F:1, C:1, Y:17, X:1, X:2, Y:1, W:3, H:3, X:272, Y:10, C:3, F:32, ;34.384578704833984
9;0;Yolo9000_00;5.2444497;0.006981872929952155;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;34;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;68;F:1, C:1, Y:1, X:1, X:2, Y:17, W:3, H:3, X:272, Y:10, C:3, F:32, ;36.78302335739136
10;0;Yolo9000_00;5.560061899999999;0.03699886163235296;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;34;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;68;F:1, C:1, Y:17, X:2, X:1, Y:1, W:3, H:3, X:272, Y:10, C:3, F:32, ;39.177380084991455
11;0;Yolo9000_00;5.2510332;0.02005660167525894;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;34;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;68;F:1, C:1, Y:1, X:2, X:1, Y:17, W:3, H:3, X:272, Y:10, C:3, F:32, ;41.55479836463928
12;0;Yolo9000_00;5.2269825;0.01635156601827467;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;34;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;68;F:1, C:1, X:1, Y:17, X:2, Y:1, W:3, H:3, X:272, Y:10, C:3, F:32, ;43.96541476249695
13;0;Yolo9000_00;5.0107478;0.019629039797198388;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;34;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;68;F:1, C:1, X:1, Y:1, X:2, Y:17, W:3, H:3, X:272, Y:10, C:3, F:32, ;46.38935208320618
14;0;Yolo9000_00;4.9871585000000005;0.008831563216667787;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;34;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;68;F:1, C:1, X:2, Y:17, X:1, Y:1, W:3, H:3, X:272, Y:10, C:3, F:32, ;48.817079305648804
15;0;Yolo9000_00;4.991408000000001;0.015686358959299797;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;34;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;68;F:1, C:1, X:2, Y:1, X:1, Y:17, W:3, H:3, X:272, Y:10, C:3, F:32, ;51.20465588569641
16;0;Yolo9000_00;6.4147628999999995;0.0309595925310718;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;68;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;34;F:1, C:1, Y:17, X:1, X:2, Y:2, W:3, H:3, X:272, Y:10, C:3, F:32, ;53.690415143966675
17;0;Yolo9000_00;5.9347479;0.01303149238920844;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;68;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;34;F:1, C:1, Y:2, X:1, X:2, Y:17, W:3, H:3, X:272, Y:10, C:3, F:32, ;56.142038345336914
18;0;Yolo9000_00;6.430344600000001;0.04282222230151055;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;68;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;34;F:1, C:1, Y:17, X:2, X:1, Y:2, W:3, H:3, X:272, Y:10, C:3, F:32, ;58.62205123901367
19;0;Yolo9000_00;5.9315391;0.00711368793875573;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;68;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;34;F:1, C:1, Y:2, X:2, X:1, Y:17, W:3, H:3, X:272, Y:10, C:3, F:32, ;61.104074478149414
20;0;Yolo9000_00;5.115394000000001;0.008545583221758489;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;80;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;16;F:1, C:1, Y:8, X:1, X:2, Y:5, W:3, H:3, X:272, Y:11, C:3, F:32, ;63.618178606033325
21;0;Yolo9000_00;5.7835403;0.007927239684152518;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;80;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;16;F:1, C:1, Y:5, X:1, X:2, Y:8, W:3, H:3, X:272, Y:11, C:3, F:32, ;66.18079042434692
22;0;Yolo9000_00;5.1179479;0.008663560693502388;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;80;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;16;F:1, C:1, Y:8, X:2, X:1, Y:5, W:3, H:3, X:272, Y:11, C:3, F:32, ;68.68422436714172
23;0;Yolo9000_00;5.7687049;0.015353452442040562;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;80;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;16;F:1, C:1, Y:5, X:2, X:1, Y:8, W:3, H:3, X:272, Y:11, C:3, F:32, ;71.21431994438171
24;0;Yolo9000_00;5.9876176999999995;0.019526872330457714;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;68;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;34;F:1, C:1, X:1, Y:17, X:2, Y:2, W:3, H:3, X:272, Y:10, C:3, F:32, ;73.74119853973389
25;0;Yolo9000_00;5.721461100000001;0.015868172329855684;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;68;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;34;F:1, C:1, X:1, Y:2, X:2, Y:17, W:3, H:3, X:272, Y:10, C:3, F:32, ;76.21584129333496
26;0;Yolo9000_00;5.6798005;0.0063763547776137675;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;68;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;34;F:1, C:1, X:2, Y:17, X:1, Y:2, W:3, H:3, X:272, Y:10, C:3, F:32, ;78.6813018321991
27;0;Yolo9000_00;5.674824999999999;0.01168850998202949;2;axe_xx1_0,axe_yy1_0,axe_xx1_1,axe_yy1_1;68;axe_xx2_0,axe_yy2_0,axe_xx2_1,axe_yy2_1;34;F:1, C:1, X:2, Y:2, X:1, Y:17, W:3, H:3, X:272, Y:10, C:3, F:32, ;81.15499091148376
28;0;Yolo9000_00;5.6203336;0.020180022176400064;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;56;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, Y:4, X:1, X:2, Y:7, W:3, H:3, X:272, Y:12, C:3, F:32, ;83.7701632976532
29;0;Yolo9000_00;5.4517527;0.014874751204978262;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;56;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, Y:7, X:1, X:2, Y:4, W:3, H:3, X:272, Y:12, C:3, F:32, ;86.35514044761658
30;0;Yolo9000_00;5.6399163;0.012910599498474002;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;56;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, Y:4, X:2, X:1, Y:7, W:3, H:3, X:272, Y:12, C:3, F:32, ;88.91973614692688
31;0;Yolo9000_00;5.4578386000000005;0.024394786218370376;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;56;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;32;F:1, C:1, Y:7, X:2, X:1, Y:4, W:3, H:3, X:272, Y:12, C:3, F:32, ;91.50052738189697
32;0;Yolo9000_00;5.4479827;0.011812924659456605;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;72;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;40;F:1, C:1, Y:4, X:1, X:2, Y:9, W:3, H:3, X:272, Y:9, C:3, F:32, ;93.85220789909363
33;0;Yolo9000_00;5.7101459;0.01929788465842821;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;72;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;40;F:1, C:1, Y:9, X:1, X:2, Y:4, W:3, H:3, X:272, Y:9, C:3, F:32, ;96.25520968437195
34;0;Yolo9000_00;5.462913800000001;0.00876025706015512;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;72;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;40;F:1, C:1, Y:4, X:2, X:1, Y:9, W:3, H:3, X:272, Y:9, C:3, F:32, ;98.63384699821472
35;0;Yolo9000_00;5.7131501;0.016194582683415972;2;axe_yy1_0,axe_xx1_0,axe_xx1_1,axe_yy1_1;72;axe_yy2_0,axe_xx2_0,axe_xx2_1,axe_yy2_1;40;F:1, C:1, Y:9, X:2, X:1, Y:4, W:3, H:3, X:272, Y:9, C:3, F:32, ;100.99531126022339
