MLfunction,Conv,Nb_train,PredictionExacte,Distance,Prediction+1,Prediction+2
J48,MobilNet_06,350,64.12037037037040,192,95.13888888888890,97.91666666666670
RandomForest,MobilNet_06,20,30.555555555555600,430,77.54629629629630,93.51851851851850
RandomForest,MobilNet_06,50,38.88888888888890,376,81.71296296296300,95.13888888888890
RandomForest,MobilNet_06,100,47.4537037037037,311,85.64814814814820,96.75925925925930
RandomForest,MobilNet_06,150,52.77777777777780,266,89.35185185185190,97.68518518518520
RandomForest,MobilNet_06,200,60.416666666666700,202,94.67592592592590,99.30555555555560
RandomForest,MobilNet_06,350,64.35185185185190,183,95.60185185185190,98.8425925925926
RandomTree,MobilNet_06,20,35.41666666666670,416,80.0925925925926,91.66666666666670
RandomTree,MobilNet_06,50,37.96296296296300,359,82.17592592592590,97.45370370370370
RandomTree,MobilNet_06,100,32.870370370370400,440,74.30555555555560,93.98148148148150
RandomTree,MobilNet_06,150,40.0462962962963,362,81.94444444444440,94.9074074074074
RandomTree,MobilNet_06,200,46.06481481481480,318,85.18518518518520,96.06481481481480
RandomTree,MobilNet_06,350,47.68518518518520,323,84.95370370370370,95.13888888888890
J48,MobilNet_07,20,24.102564102564100,966,64.48717948717950,90.38461538461540
J48,MobilNet_07,50,33.84615384615390,856,73.97435897435900,89.87179487179490
J48,MobilNet_07,100,35.256410256410300,841,74.35897435897440,88.71794871794870
J48,MobilNet_07,150,43.07692307692310,711,79.61538461538460,91.28205128205130
J48,MobilNet_07,200,43.84615384615390,598,84.23076923076920,96.15384615384620
J48,MobilNet_07,350,47.05128205128210,577,85.25641025641030,95.8974358974359
J48,MobilNet_07,500,51.7948717948718,529,84.23076923076920,96.66666666666670
RandomForest,MobilNet_07,20,20.384615384615400,1267,51.28205128205130,75.12820512820510
RandomForest,MobilNet_07,50,31.41025641025640,944,68.58974358974360,86.28205128205130
RandomForest,MobilNet_07,100,33.46153846153850,813,72.56410256410260,91.41025641025640
RandomForest,MobilNet_07,150,39.23076923076920,682,80.12820512820510,94.48717948717950
RandomForest,MobilNet_07,200,40.8974358974359,677,81.41025641025640,93.84615384615380
RandomForest,MobilNet_07,350,41.15384615384620,645,83.58974358974360,95.0
RandomForest,MobilNet_07,500,46.92307692307690,581,85.64102564102560,95.25641025641030
RandomTree,MobilNet_07,20,19.48717948717950,1265,53.97435897435900,79.87179487179490
RandomTree,MobilNet_07,50,23.717948717948700,1045,64.87179487179490,82.94871794871800
RandomTree,MobilNet_07,100,29.615384615384600,984,65.25641025641030,86.7948717948718
RandomTree,MobilNet_07,150,23.076923076923100,1243,58.84615384615390,77.43589743589750
RandomTree,MobilNet_07,200,27.17948717948720,1071,61.282051282051300,83.2051282051282
RandomTree,MobilNet_07,350,32.43589743589740,947,66.28205128205130,84.48717948717950
RandomTree,MobilNet_07,500,38.333333333333300,731,78.46153846153850,91.41025641025640
J48,MobilNet_08,20,45.1219512195122,56,90.2439024390244,96.34146341463420
J48,MobilNet_08,50,42.68292682926830,59,87.8048780487805,97.5609756097561
RandomForest,MobilNet_08,20,40.243902439024400,72,76.82926829268290,96.34146341463420
RandomForest,MobilNet_08,50,34.146341463414600,70,85.36585365853660,95.1219512195122
RandomTree,MobilNet_08,20,34.146341463414600,89,65.85365853658540,92.6829268292683
RandomTree,MobilNet_08,50,40.243902439024400,65,86.58536585365850,93.90243902439020
J48,MobilNet_09,20,41.29353233830850,954,92.32409381663110,98.57853589196870
J48,MobilNet_09,50,42.71499644633970,1037,85.85643212508880,98.22316986496090
J48,MobilNet_09,100,46.62402274342570,993,86.56716417910450,96.65955934612650
J48,MobilNet_09,150,46.979388770433500,949,88.77043354655300,97.0859985785359
J48,MobilNet_09,200,50.24875621890550,872,89.62331201137170,98.22316986496090
J48,MobilNet_09,350,53.162757640369600,848,89.55223880597020,97.72565742715000
J48,MobilNet_09,500,52.30987917555080,851,89.41009239516700,97.79673063255150
J48,MobilNet_09,1000,54.51314854299930,859,87.98862828713580,97.29921819474060
RandomForest,MobilNet_09,20,30.632551528073900,1302,78.89125799573560,97.93887704335470
RandomForest,MobilNet_09,50,42.857142857142900,991,88.13077469793890,98.57853589196870
RandomForest,MobilNet_09,100,48.11656005685860,870,91.6133617626155,98.4363894811656
RandomForest,MobilNet_09,150,45.13148542999290,1041,84.93248045486850,97.0859985785359
RandomForest,MobilNet_09,200,52.30987917555080,820,91.75550817341860,97.72565742715000
RandomForest,MobilNet_09,350,54.22885572139300,820,90.68941009239520,97.79673063255150
RandomForest,MobilNet_09,500,54.58422174840090,799,90.76048329779670,98.08102345415780
RandomForest,MobilNet_09,1000,53.58919687277900,834,89.62331201137170,98.22316986496090
RandomTree,MobilNet_09,20,27.647476901208200,1597,70.36247334754800,90.54726368159200
RandomTree,MobilNet_09,50,40.511727078891300,1235,80.38379530916850,92.96375266524520
RandomTree,MobilNet_09,100,38.73489694385220,1159,82.87135749822320,96.8727789623312
RandomTree,MobilNet_09,150,45.06041222459130,1062,85.21677327647480,95.02487562189050
RandomTree,MobilNet_09,200,41.64889836531630,1080,86.78038379530920,95.87775408670930
RandomTree,MobilNet_09,350,46.695095948827300,997,87.20682302771860,96.3041933191187
RandomTree,MobilNet_09,500,49.324804548685100,961,87.34896943852170,95.80668088130780
RandomTree,MobilNet_09,1000,45.7000710732054,1005,85.78535891968730,97.6545842217484
J48,ResNet18_01,20,63.49206349206350,129,95.55555555555560,100.0
J48,ResNet18_01,50,54.6031746031746,157,95.87301587301590,99.68253968253970
J48,ResNet18_01,100,54.285714285714300,149,98.73015873015870,99.68253968253970
J48,ResNet18_01,150,61.904761904761900,129,97.77777777777780,99.36507936507940
J48,ResNet18_01,200,65.71428571428570,116,98.09523809523810,99.36507936507940
RandomForest,ResNet18_01,20,54.920634920634900,172,90.47619047619050,100.0
RandomForest,ResNet18_01,50,50.15873015873020,181,92.38095238095240,100.0
RandomForest,ResNet18_01,100,54.6031746031746,163,93.96825396825400,99.68253968253970
RandomForest,ResNet18_01,150,55.55555555555560,164,92.6984126984127,99.68253968253970
RandomForest,ResNet18_01,200,67.3015873015873,110,97.77777777777780,100.0
RandomTree,ResNet18_01,20,42.857142857142900,213,90.7936507936508,98.73015873015870
RandomTree,ResNet18_01,50,36.82539682539680,259,82.22222222222220,98.73015873015870
RandomTree,ResNet18_01,100,46.98412698412700,193,91.74603174603180,100.0
RandomTree,ResNet18_01,150,41.269841269841300,196,97.14285714285710,99.68253968253970
RandomTree,ResNet18_01,200,55.87301587301590,158,94.6031746031746,99.36507936507940
J48,ResNet18_02,20,32.76995305164320,1246,71.73708920187790,88.54460093896710
J48,ResNet18_02,50,36.431924882629100,1317,71.54929577464790,85.63380281690140
J48,ResNet18_02,100,39.34272300469480,1025,81.31455399061030,92.01877934272300
J48,ResNet18_02,150,42.816901408450700,1225,75.39906103286380,89.85915492957750
J48,ResNet18_02,200,48.732394366197200,841,84.50704225352110,96.15023474178400
J48,ResNet18_02,350,55.586854460093900,595,91.17370892018780,98.30985915492960
J48,ResNet18_02,500,61.03286384976530,503,92.95774647887320,98.87323943661970
J48,ResNet18_02,1000,65.07042253521130,438,94.55399061032860,99.24882629107980
RandomForest,ResNet18_02,20,19.530516431924900,2729,42.347417840375600,55.49295774647890
RandomForest,ResNet18_02,50,36.99530516431930,1285,72.30046948356810,86.0093896713615
RandomForest,ResNet18_02,100,35.2112676056338,1476,73.14553990610330,83.66197183098590
RandomForest,ResNet18_02,150,40.093896713615000,1190,75.39906103286380,89.2018779342723
RandomForest,ResNet18_02,200,42.53521126760560,1066,78.87323943661970,90.32863849765260
RandomForest,ResNet18_02,350,49.2018779342723,821,85.16431924882630,94.36619718309860
RandomForest,ResNet18_02,500,54.647887323943700,684,89.38967136150230,96.3380281690141
RandomForest,ResNet18_02,1000,61.87793427230050,515,92.67605633802820,98.12206572769950
RandomTree,ResNet18_02,20,18.591549295774600,1959,49.014084507042300,74.83568075117370
RandomTree,ResNet18_02,50,18.779342723004700,2144,52.48826291079810,68.45070422535210
RandomTree,ResNet18_02,100,26.103286384976500,1550,62.629107981220700,84.22535211267610
RandomTree,ResNet18_02,150,31.83098591549300,1851,64.97652582159620,76.61971830985920
RandomTree,ResNet18_02,200,33.80281690140850,1277,71.07981220657280,88.82629107981220
RandomTree,ResNet18_02,350,34.74178403755870,1590,67.69953051643190,79.34272300469480
RandomTree,ResNet18_02,500,45.821596244131500,968,81.87793427230050,93.42723004694840
RandomTree,ResNet18_02,1000,48.544600938967100,896,81.78403755868540,93.2394366197183
J48,ResNet18_03,20,77.03703703703700,31,100.0,100.0
J48,ResNet18_03,50,77.03703703703700,32,99.25925925925930,100.0
J48,ResNet18_03,100,77.77777777777780,31,99.25925925925930,100.0
RandomForest,ResNet18_03,20,77.03703703703700,31,100.0,100.0
RandomForest,ResNet18_03,50,77.03703703703700,31,100.0,100.0
RandomForest,ResNet18_03,100,77.03703703703700,31,100.0,100.0
RandomTree,ResNet18_03,20,77.03703703703700,31,100.0,100.0
RandomTree,ResNet18_03,50,54.074074074074100,70,94.07407407407410,100.0
RandomTree,ResNet18_03,100,71.85185185185190,41,97.77777777777780,100.0
J48,ResNet18_04,20,22.807017543859600,1224,55.26315789473690,79.19799498746870
J48,ResNet18_04,50,41.10275689223060,853,74.06015037593990,87.96992481203010
J48,ResNet18_04,100,44.23558897243110,799,80.07518796992480,92.35588972431080
J48,ResNet18_04,150,40.97744360902260,737,81.8295739348371,93.35839598997490
J48,ResNet18_04,200,45.73934837092730,704,80.57644110275690,93.10776942355890
J48,ResNet18_04,350,41.854636591478700,762,80.57644110275690,92.85714285714290
J48,ResNet18_04,500,47.24310776942360,623,87.96992481203010,95.73934837092730
RandomForest,ResNet18_04,20,25.68922305764410,1312,52.63157894736840,73.30827067669170
RandomForest,ResNet18_04,50,33.583959899749400,1007,66.16541353383460,84.46115288220550
RandomForest,ResNet18_04,100,34.21052631578950,905,71.9298245614035,88.47117794486220
RandomForest,ResNet18_04,150,34.711779448621600,911,72.93233082706770,88.7218045112782
RandomForest,ResNet18_04,200,40.476190476190500,785,77.94486215538850,91.97994987468670
RandomForest,ResNet18_04,350,43.859649122807000,703,84.3358395989975,94.73684210526320
RandomForest,ResNet18_04,500,47.4937343358396,668,85.21303258145360,94.61152882205510
RandomTree,ResNet18_04,20,11.904761904761900,1971,34.58646616541350,51.50375939849620
RandomTree,ResNet18_04,50,17.418546365914800,1783,45.86466165413530,62.531328320802000
RandomTree,ResNet18_04,100,29.32330827067670,1104,61.528822055137800,82.70676691729320
RandomTree,ResNet18_04,150,33.20802005012530,1031,68.796992481203,85.21303258145360
RandomTree,ResNet18_04,200,19.924812030075200,1599,47.24310776942360,67.04260651629070
RandomTree,ResNet18_04,350,24.93734335839600,1339,59.14786967418550,73.05764411027570
RandomTree,ResNet18_04,500,37.719298245614000,1027,72.55639097744360,84.3358395989975
J48,ResNet18_05,20,72.54901960784310,14,100.0,100.0
J48,ResNet18_05,50,64.70588235294120,18,100.0,100.0
RandomForest,ResNet18_05,20,72.54901960784310,14,100.0,100.0
RandomForest,ResNet18_05,50,72.54901960784310,14,100.0,100.0
RandomTree,ResNet18_05,20,72.54901960784310,14,100.0,100.0
RandomTree,ResNet18_05,50,52.94117647058820,24,100.0,100.0
J48,ResNet18_06,20,40.67982456140350,957,73.57456140350880,86.73245614035090
J48,ResNet18_06,50,40.35087719298250,989,76.09649122807020,88.59649122807020
J48,ResNet18_06,100,43.09210526315790,891,78.72807017543860,91.44736842105260
J48,ResNet18_06,150,47.25877192982460,828,80.04385964912280,91.33771929824560
J48,ResNet18_06,200,49.122807017543900,776,81.14035087719300,93.0921052631579
J48,ResNet18_06,350,48.68421052631580,801,80.92105263157900,92.43421052631580
J48,ResNet18_06,500,50.76754385964910,706,82.45614035087720,94.73684210526320
RandomForest,ResNet18_06,20,28.947368421052600,1826,58.99122807017540,66.33771929824560
RandomForest,ResNet18_06,50,34.978070175438600,1205,68.64035087719300,80.15350877192980
RandomForest,ResNet18_06,100,36.73245614035090,1063,73.02631578947370,85.85526315789470
RandomForest,ResNet18_06,150,39.69298245614040,968,78.0701754385965,89.47368421052630
RandomForest,ResNet18_06,200,39.69298245614040,969,74.78070175438600,89.14473684210530
RandomForest,ResNet18_06,350,43.640350877193000,861,79.82456140350880,91.55701754385970
RandomForest,ResNet18_06,500,48.35526315789470,795,82.12719298245610,92.98245614035090
RandomTree,ResNet18_06,20,8.114035087719300,2672,29.93421052631580,51.864035087719300
RandomTree,ResNet18_06,50,15.570175438596500,2466,39.91228070175440,49.890350877193000
RandomTree,ResNet18_06,100,31.907894736842100,1602,56.79824561403510,70.28508771929830
RandomTree,ResNet18_06,150,37.06140350877190,1200,64.25438596491230,79.60526315789470
RandomTree,ResNet18_06,200,36.51315789473680,1070,72.80701754385970,86.9517543859649
RandomTree,ResNet18_06,350,42.43421052631580,1087,72.91666666666670,84.3201754385965
RandomTree,ResNet18_06,500,30.592105263157900,1406,59.75877192982460,78.61842105263160
J48,ResNet18_07,20,46.875,301,80.20833333333330,96.35416666666670
J48,ResNet18_07,50,45.05208333333330,289,85.9375,96.35416666666670
J48,ResNet18_07,100,51.5625,241,92.44791666666670,97.13541666666670
J48,ResNet18_07,150,53.385416666666700,229,93.22916666666670,97.39583333333330
J48,ResNet18_07,200,63.28125,183,95.3125,97.39583333333330
J48,ResNet18_07,350,65.88541666666670,169,97.13541666666670,97.39583333333330
RandomForest,ResNet18_07,20,28.385416666666700,450,67.1875,90.625
RandomForest,ResNet18_07,50,32.55208333333330,374,75.52083333333330,96.09375
RandomForest,ResNet18_07,100,48.95833333333330,248,92.1875,96.875
RandomForest,ResNet18_07,150,57.8125,210,92.70833333333330,97.39583333333330
RandomForest,ResNet18_07,200,61.979166666666700,189,93.75,97.65625
RandomForest,ResNet18_07,350,65.625,165,96.09375,97.65625
RandomTree,ResNet18_07,20,23.958333333333300,409,75.52083333333330,96.875
RandomTree,ResNet18_07,50,35.15625,334,84.11458333333330,96.35416666666670
RandomTree,ResNet18_07,100,34.11458333333330,376,77.86458333333330,93.48958333333330
RandomTree,ResNet18_07,150,46.35416666666670,279,85.41666666666670,97.39583333333330
RandomTree,ResNet18_07,200,25.520833333333300,464,66.92708333333330,91.92708333333330
RandomTree,ResNet18_07,350,43.75,345,79.94791666666670,91.14583333333330
J48,ResNet18_08,20,28.825136612021900,1603,72.54098360655740,92.07650273224040
J48,ResNet18_08,50,29.713114754098400,1860,69.80874316939890,84.56284153005460
J48,ResNet18_08,100,34.76775956284150,1537,74.4535519125683,92.21311475409840
J48,ResNet18_08,150,36.13387978142080,1452,77.3224043715847,92.62295081967210
J48,ResNet18_08,200,42.41803278688530,1273,80.32786885245900,94.74043715846990
J48,ResNet18_08,350,46.85792349726780,1206,81.14754098360660,95.28688524590160
J48,ResNet18_08,500,47.540983606557400,1205,83.19672131147540,94.74043715846990
J48,ResNet18_08,1000,51.502732240437200,1055,85.31420765027320,96.17486338797810
RandomForest,ResNet18_08,20,22.472677595628400,2342,61.81693989071040,79.03005464480870
RandomForest,ResNet18_08,50,26.434426229508200,1997,68.30601092896170,82.65027322404370
RandomForest,ResNet18_08,100,32.10382513661200,1632,73.77049180327870,89.89071038251370
RandomForest,ResNet18_08,150,32.51366120218580,1606,74.93169398907100,90.50546448087430
RandomForest,ResNet18_08,200,36.47540983606560,1494,77.6639344262295,91.12021857923500
RandomForest,ResNet18_08,350,43.85245901639340,1195,84.97267759562840,94.60382513661200
RandomForest,ResNet18_08,500,45.21857923497270,1168,85.1775956284153,94.94535519125680
RandomForest,ResNet18_08,1000,52.322404371584700,1034,86.81693989071040,95.42349726775960
RandomTree,ResNet18_08,20,20.21857923497270,2235,56.89890710382510,81.28415300546450
RandomTree,ResNet18_08,50,15.573770491803300,2815,43.64754098360660,67.4863387978142
RandomTree,ResNet18_08,100,18.510928961748600,2833,50.54644808743170,71.17486338797810
RandomTree,ResNet18_08,150,26.024590163934400,1965,64.54918032786890,86.33879781420770
RandomTree,ResNet18_08,200,30.327868852459000,1819,68.71584699453550,86.6120218579235
RandomTree,ResNet18_08,350,29.78142076502730,1804,70.28688524590160,87.97814207650270
RandomTree,ResNet18_08,500,26.912568306010900,2128,64.00273224043720,82.65027322404370
RandomTree,ResNet18_08,1000,39.34426229508200,1430,77.6639344262295,91.73497267759560
J48,ResNet18_09,20,37.03703703703700,400,76.1574074074074,95.13888888888890
J48,ResNet18_09,50,46.2962962962963,308,84.25925925925930,98.37962962962960
J48,ResNet18_09,100,50.0,273,89.58333333333330,97.45370370370370
J48,ResNet18_09,150,53.47222222222220,260,90.50925925925930,97.22222222222220
J48,ResNet18_09,200,56.94444444444440,242,90.74074074074080,97.22222222222220
J48,ResNet18_09,350,60.18518518518520,207,94.9074074074074,97.68518518518520
RandomForest,ResNet18_09,20,26.38888888888890,612,59.95370370370370,83.10185185185190
